,speciesKey,name_author,Name,Tribe,BrassiBase_status,Trait_state,Sampled?,gbif_records,gbif_records_w_coordinates,gbif_records_w_coordinates_and_uncertainty,gbif_records_w_coordinates_and_uncertainty_under_1000m,gbif_records_w_coordinates_and_uncertainty_under_500m,gbif_records_w_coordinates_and_uncertainty_under_100m,gbif_records_wo_coordinates_but_w_locality,gbif_records_bin,gbif_records_w_coordinates_bin,gbif_records_w_coordinates_and_uncertainty_bin,gbif_records_w_coordinates_and_uncertainty_under_1000m_bin,gbif_records_w_coordinates_and_uncertainty_under_500m_bin,gbif_records_w_coordinates_and_uncertainty_under_100m_bin
3576,7493123,Alyssum dimorphosepalum Eig,Alyssum dimorphosepalum,Alysseae,not accepted,H,N,23,2,1,0,0,0,21,>=10,<10,<10,0,0,0
625,3044785,Alyssum djurdjurae Chabert,Alyssum djurdjurae,Alysseae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
631,3044800,Alyssum doerfleri Degen,Alyssum doerfleri,Alysseae,accepted,H,N,19,3,0,0,0,0,16,>=10,<10,0,0,0,0
4070,11015500,Alyssum emarginatum Zahl ex Vis.,Alyssum emarginatum,Alysseae,accepted,H,N,164,49,4,4,4,4,115,>=100,>=10,<10,<10,<10,<10
2406,3690342,Alyssum erigens Jord. & Fourr.,Alyssum erigens,Alysseae,accepted,H,N,35,7,1,1,0,0,28,>=10,<10,<10,<10,0,0
647,3044886,Alyssum erosulum Gennari & Pestal. ex Clementi,Alyssum erosulum,Alysseae,accepted,W,Y,54,8,0,0,0,0,46,>=10,<10,0,0,0,0
654,3044918,Alyssum fastigiatum Heywood,Alyssum fastigiatum,Alysseae,accepted,H,N,144,71,59,29,6,2,73,>=100,>=10,>=10,>=10,<10,<10
673,3045054,Alyssum foliosum Bory & Chaub.,Alyssum foliosum,Alysseae,accepted,H,N,158,29,4,3,3,3,129,>=100,>=10,<10,<10,<10,<10
662,3044972,Alyssum fulvescens Sm.,Alyssum fulvescens,Alysseae,accepted,H,N,145,28,5,5,5,2,117,>=100,>=10,<10,<10,<10,<10
3908,10810737,"Alyssum gallaecicum (S. Ortiz) Španiel, Marhold & Lihová",Alyssum gallaecicum,Alysseae,accepted,H,N,74,42,34,10,0,0,32,>=10,>=10,>=10,>=10,0,0
655,3044931,Alyssum gmelinii Jord. & Fourr.,Alyssum gmelinii,Alysseae,accepted,H,N,1141,827,595,447,414,79,314,>=1000,>=500,>=500,>=100,>=100,>=10
706,3045178,Alyssum granatense Boiss. & Reut.,Alyssum granatense,Alysseae,accepted,H,N,4656,3404,3081,2253,1731,1721,1252,>=1000,>=1000,>=1000,>=1000,>=1000,>=1000
714,3045215,Alyssum gustavssonii Hartvig,Alyssum gustavssonii,Alysseae,accepted,H,N,16,14,0,0,0,0,2,>=10,>=10,0,0,0,0
712,3045209,Alyssum hajastanum V.E. Avet.,Alyssum hajastanum,Alysseae,accepted,H,N,3,0,0,0,0,0,3,<10,0,0,0,0,0
612,3044742,Alyssum handelii Hayek,Alyssum handelii,Alysseae,accepted,H,Y,52,5,1,1,0,0,47,>=10,<10,<10,<10,0,0
617,3044759,Alyssum harputicum T.R. Dudley,Alyssum harputicum,Alysseae,accepted,H,Y,16,4,0,0,0,0,12,>=10,<10,0,0,0,0
630,3044799,Alyssum heideri Krock.,Alyssum heideri,unknown,unresolved,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
3762,8887195,Alyssum hezarmasjedense Kavousi & Nazary,Alyssum hezarmasjedense,Alysseae,not accepted,H,N,1,0,0,0,0,0,1,<10,0,0,0,0,0
666,3045006,Alyssum hirsutum M. Bieb.,Alyssum hirsutum,Alysseae,accepted,H,Y,850,463,328,275,216,176,387,>=500,>=100,>=100,>=100,>=100,>=100
665,3045004,Alyssum idaeum Boiss. & Heldr.,Alyssum idaeum,Alysseae,accepted,H,N,79,16,6,5,5,3,63,>=10,>=10,<10,<10,<10,<10
2436,3691751,Alyssum iljinskajae V.I. Dorof.,Alyssum iljinskajae,Alysseae,accepted,H,N,8,2,0,0,0,0,6,<10,<10,0,0,0,0
670,3045026,Alyssum iranicum Hausskn. ex Bornm.,Alyssum iranicum,Alysseae,accepted,H,Y,0,0,0,0,0,0,0,0,0,0,0,0,0
2435,3691706,Alyssum jonasianum H.J. Coste & Sennen,Alyssum jonasianum,Anastaticeae,not accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
4116,11084890,Alyssum kaynakiae Yılmaz,Alyssum kaynakiae,Alysseae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
637,3044820,Alyssum kotovii A.P. Iljinsk.,Alyssum kotovii,Alysseae,accepted,H,N,0,0,0,0,0,0,0,0,0,0,0,0,0
